RowID;In which country do you work?;What type of organization do you work for?;Name of your organization:  (optional;Which role applies primarily to you?;Which other role applies to you?  (optional;At what political level?;At what other political level?  (optional;What is your gender identity?;What are your main fields of application?;In which other fields of applications do your work?  (optional;What is your age?;You are primarily...;What type of geospatial data do you primarily use?;What kind of other environmental data sets do you use?  (optiona;What other geospatial data sets do you use?  (optional;At what level of scale do you primarily work with geospatial data?;What level of scale you primarily work with geospatial data? (optional);How important are the following features of geospatial data to you?: Data is easy to find online.;How important are the following features of geospatial data to you?: Data has a clear and accessible license.;How important are the following features of geospatial data to you?: Data can be retrieved via domain-relevant community standards.;How important are the following features of geospatial data to you?: Data can be retrieved via open protocols.;How important are the following features of geospatial data to you?: Data is rich with understandable metadata.;How important are the following features of geospatial data to you?: Data is interoperable with other data sets.;How important are the following features of geospatial data to you?: Data can be easily integrated in existing workflows.;How important are the following features of geospatial data to you?: Source of data is well transparent and documented.;How important are the following features of geospatial data to you?: Data can be reproduced.;How important are the following features of geospatial data to you?: Data is open.;Other features that are very or extremely important to you?  (optional;How problematic do you find the following features of geospatial data?: Data are not open.;How problematic do you find the following features of geospatial data?: Data have poor / incomplete metadata.;How problematic do you find the following features of geospatial data?: Data are not available in the right formats.;How problematic do you find the following features of geospatial data?: Data need to be ordered.;How problematic do you find the following features of geospatial data?: Data access requires identification / registration;Other features that are very or extremely problematic to you? (optional;What is your favorite approach to finding geospatial data?;Which other approach you use to find geospatial data? (optional;How familiar are you with the FAIR data principles?;How important are the following FAIR principles for you?: Data must be easy and quick to find.;How important are the following FAIR principles for you?: Data must be easily accessible.;How important are the following FAIR principles for you?: Data must be easily integrated into existing applications.;How important are the following FAIR principles for you?: Data must be interoperable with other data sets.;How important are the following FAIR principles for you?: Data must be reproducible.;How important are the following FAIR principles for you?: Data must be reusable.;Have you already worked with FAIR data?;Which FAIR data sets have you worked with? (optional);For what specific reason(s) have you not used FAIR data before? (optional);From your point of view, is there a difference between FAIR data and open data?;What do you think are the biggest barriers to use FAIR data? Select your top ;Any other barriers to use FAIR data? (optional);What do you think are the biggest barriers to use open data? Select your top ;Any other barriers to use open data? (optional);What type of geospatial data do you produce / provide?;What kind of other environmental data sets do you produce / provide?  (optiona;What other geospatial data sets do you produce / provide?  (optional;At what level of scale do you primarily produce / provide geospatial data?;At what level of scale you primarily produce / provide geospatial data? (optional);From your point of view: what are important features of geospatial data for the users?: Data is easy to find online.;From your point of view: what are important features of geospatial data for the users?: Data has a clear and accessible license.;From your point of view: what are important features of geospatial data for the users?: Data can be retrieved via domain-relevant community standards.;From your point of view: what are important features of geospatial data for the users?: Data can be retrieved via open protocols.;From your point of view: what are important features of geospatial data for the users?: Data is rich with understandable metadata.;From your point of view: what are important features of geospatial data for the users?: Data is interoperable with other data sets.;From your point of view: what are important features of geospatial data for the users?: Data can be easily integrated in existing workflows.;From your point of view: what are important features of geospatial data for the users?: Source of data is well transparent and documented.;From your point of view: what are important features of geospatial data for the users?: Data can be reproduced.;From your point of view: what are important features of geospatial data for the users?: Data is open.;Other features are extremely important to the users?  (optional;From your point of view: how problematic do users find the following features of geospatial data?: Data are not open.;From your point of view: how problematic do users find the following features of geospatial data?: Data have poor / incomplete metadata.;From your point of view: how problematic do users find the following features of geospatial data?: Data are not available in the right formats.;From your point of view: how problematic do users find the following features of geospatial data?: Data need to be ordered.;From your point of view: how problematic do users find the following features of geospatial data?: Data access requires identification / registration;Other features that are very or extremely problematic to users? (optional;How can users find the geospatial data you produce / provide?;Which other way do users find the geospatial data you produce / provide? (optional;How familiar are you with the FAIR data principles?;How important are the following FAIR principles to you?: Data must be easy and quick to find;How important are the following FAIR principles to you?: Data must be easily accessible;How important are the following FAIR principles to you?: Data must be easily integrated into existing applications;How important are the following FAIR principles to you?: Data must be interoperable with other data;How important are the following FAIR principles to you?: Data must be reproducible;How important are the following FAIR principles to you?: Dat must be reusable;Are you providing FAIR data?;What are the main barriers stopping you from providing FAIR data? (optional);Which FAIR data sets are you providing? (optional);From your point of view, is there a difference between FAIR data and open data?;What do you think are the biggest barriers to produce more FAIR data? Select your top 3!;Any other barrier(s) to produce more FAIR data? (optional);What do you think are the biggest barriers to produce more open data? Select your top 3!;Any other barrier(s) to produce more open data? (optional)
1;Romania;Company;HERE Technologies;Other;Data Sourcing&Community Manager;;;Man;Infrastructure / transportation;;40 - 50 years;a producer / provider of geospatial data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Other remote sensing data & derived products (e.g. from airborne, UAVs, terrestrial laser scanner); In-situ data; Citizen science data; Data from IoT / smart sensors; Other geospatial data sets";;navigation map data, traffic data;Global;;Extremely important;Extremely important;Extremely important;Important;Very important;Very important;Extremely important;Extremely important;Very important;Very important;;Very problematic;Very problematic;Very problematic;Problematic;Problematic;;"On a website; Through geospatial catalogs (e.g. geoportal); Through commercial data provider";;Slightly familiar;Very important;Extremely important;Extremely important;Extremely important;Extremely important;Extremely important;Partially;;;Yes, FAIR data is not necessarily open;"Competitive disadvantage (e.g. missing business opportunities); Missing incentives (e.g. uncertain benefit, lack of recognition); Restrictive policies (e.g. restrict data sharing guidelines)";;"Economic disadvantage (e.g. costs to produce data are not covered); Competitive disadvantage (e.g. missing business opportunities; Legal concerns regarding licensing (e.g. disagreement on ownership & copyrights)";
2;Germany;Research institute;GFZ Potsdam;Scientist;;;;Man;Other;Method development;30 - 40 years;a producer / provider of geospatial data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Open Satellite-based remote sensing data & derived products; Other remote sensing data & derived products (e.g. from airborne, UAVs, terrestrial laser scanner)";;;"Continent; Country; Federal state / region; Local";;Extremely important;Important;Important;Slightly important;Extremely important;Important;Very important;Slightly important;Slightly important;Extremely important;;Slightly problematic;Very problematic;Problematic;Slightly problematic;Slightly problematic;;"On a website; Through geospatial catalogs (e.g. geoportal); Through open repositories (e.g. zenodo); Through data hubs (e.g. Copernicus Open Access Hub, Sentinel Hub); Through commercial data provider";;Very;Very important;Very important;Extremely important;Very important;Slightly important;Slightly important;Yes;;Spectrally and spatially harmonized remote sensing datasets;Yes, FAIR data is not necessarily open;"Missing incentives (e.g. uncertain benefit, lack of recognition); Restrictive policies (e.g. restrict data sharing guidelines); Disagreement on data use (e.g. potential misuse)";;"Competitive disadvantage (e.g. missing business opportunities; Legal concerns regarding licensing (e.g. disagreement on ownership & copyrights); Restrictive policies (e.g. e.g. restrict data sharing guidelines)";
3;United Kingdom;University;Aston University;Scientist;;;;Prefer not to respond;"Forestry; Nature conservation / biodiversity; Infrastructure / transportation";;50 - 60 years;a user of geospatial data;"Open Satellite-based remote sensing data & derived products; Other remote sensing data & derived products (e.g. from airborne, UAVs, terrestrial laser scanner); Citizen science data; Data from IoT / smart sensors; Other environmental data / information";;;"Global; Country; Federal state / region; Local";;Very important;Very important;Extremely important;Extremely important;Extremely important;Very important;Very important;Very important;Very important;Very important;;Problematic;Very problematic;Very problematic;Slightly problematic;Not problematic;;"Through geospatial catalogs (e.g. geoportal); Through open repositories (e.g. zenodo); Through data hubs (e.g. Copernicus Open Access Hub, Sentinel Hub)";;Extremly familar;Important;Very important;Very important;Extremly important;Very important;Extremly important;I don’t kn;;;Yes, FAIR data is not necessarily open;"Lack of knowledge about the benefits of FAIR data.; Missing technical solutions (e.g. missing tools to read data).; Concerns about licensing.";;"Concerns on metadata (e.g. uncomplete, too complex).; Lack of continuity (e.g. no guaranteed continuation).; Lack of standards (e.g. unknown quality).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Netherlands;University;;Scientist;;;;Man;"Climate / carbon; Agriculture / land degradation; Forestry";;40 - 50 years;a producer / provider of geospatial data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Open Satellite-based remote sensing data & derived products; Commercial Satellite-based remote sensing data & derived products; In-situ data; Data from IoT / smart sensors";;;"Global; Continent; Country";;Extremely important;Very important;Important;Important;Important;Important;Very important;Extremely important;Very important;Extremely important;;Extremely problematic;Very problematic;Very problematic;Problematic;Very problematic;;"Through geospatial catalogs (e.g. geoportal); Through open repositories (e.g. zenodo); Through data hubs (e.g. Copernicus Open Access Hub, Sentinel Hub)";;Familiar;Very important;Very important;Very important;Very important;Very important;Important;Yes;;;Yes, FAIR data is not necessarily open;"Lack of resources (e.g. personnel, time); Missing incentives (e.g. uncertain benefit, lack of recognition); Lack of guidelines (e.g. guidelines are missing, incomplete or unclear)";;"Competitive disadvantage (e.g. missing business opportunities; Disagreement on data use (e.g. use case is against ethical and moral principles of producer); Missing infrastructure (e.g. large data traffic overloads system)";
5;Switzerland;Non-governmental organization;;Technician;;;;Man;Infrastructure / transportation;;40 - 50 years;a user of geospatial data;Data from IoT / smart sensors;;;"Federal state / region; Local";;Very important;Very important;Important;Very important;Very important;Very important;Important;Very important;Important;Extremely important;;Extremely problematic;Very problematic;Problematic;Problematic;Slightly problematic;;"Through web search (e.g. via Google, Bing, Ecosia); Through geospatial catalogs (e.g. geoportal); Through open repositories (e.g. zenodo)";;Extremly familar;Extremly important;Extremly important;Very important;Extremly important;Extremly important;Extremly important;Yes;;;Yes, FAIR data is not necessarily open;"Lack of awareness of which data sets are FAIR (e.g. missing label or identifier).; Concerns about licensing.; FAIR data is not necessarily open.";;"Legal concerns regarding licensing (e.g. ownership & copyrights are unclear).; Concerns on metadata (e.g. uncomplete, too complex).; Lack of continuity (e.g. no guaranteed continuation).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Romania;University;;Scientist;;;;Man;"Atmosphere / weather; Risk / hazards; Coastal marine areas; Agriculture / land degradation; Forestry; Infrastructure / transportation; Water resources; Energy / mineral resources";;30 - 40 years;a user of geospatial data;Open Satellite-based remote sensing data & derived products;;;Country;;Extremely important;Very important;Very important;Very important;Very important;Extremely important;Extremely important;Extremely important;Extremely important;Extremely important;;Very problematic;Very problematic;Very problematic;Extremely problematic;Extremely problematic;;Through web search (e.g. via Google, Bing, Ecosia);;Not familiar;Extremly important;Extremly important;Extremly important;Extremly important;Extremly important;Extremly important;I don’t kn;;;I don’t kn;"Lack of knowledge about the benefits of FAIR data.; Lack of awareness of which data sets are FAIR (e.g. missing label or identifier).; Lack of guidelines how to use FAIR data.";;Lack of continuity (e.g. no guaranteed continuation).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Greece;Research institute;National Observatory of Athens;Technician;;;;Man;Agriculture / land degradation;;30 - 40 years;a producer / provider of geospatial data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Open Satellite-based remote sensing data & derived products; Other geospatial data sets";;;Country;;Extremely important;Very important;Important;Very important;Extremely important;Important;Very important;Very important;Important;Very important;;Very problematic;Extremely problematic;Extremely problematic;Problematic;Not problematic;;"On a website; Other";API that we have developed;Very;Extremely important;Extremely important;Very important;Extremely important;Very important;Extremely important;Partially;;;Yes, FAIR data is not necessarily open;"Lack of resources (e.g. personnel, time); Restrictive policies (e.g. restrict data sharing guidelines); Lack of guidelines (e.g. guidelines are missing, incomplete or unclear)";;"Concerns regarding sensible data (e.g. potential misuse); Missing infrastructure (e.g. large data traffic overloads system)";
8;Netherlands;University;Wageningen University;Other;PhD Candidate;;;Man;"Climate / carbon; Agriculture / land degradation; Forestry; Nature conservation / biodiversity";;30 - 40 years;a user of geospatial data;"Open Satellite-based remote sensing data & derived products; Commercial Satellite-based remote sensing data & derived products; In-situ data; Citizen science data";;;"Global; Continent; Country";;Extremely important;Extremely important;Extremely important;Extremely important;Extremely important;Extremely important;Extremely important;Extremely important;Extremely important;Extremely important;;Very problematic;Very problematic;Very problematic;Extremely problematic;Problematic;;"Through web search (e.g. via Google, Bing, Ecosia); Through geospatial catalogs (e.g. geoportal); Through open repositories (e.g. zenodo); Through a commercial data provider";;Very familiar;Extremly important;Extremly important;Extremly important;Extremly important;Extremly important;Extremly important;I don’t kn;;;No, FAIR data is always open;FAIR data is not necessarily open.;;"Missing support (e.g. lack of contact person for questions).; Lack of continuity (e.g. no guaranteed continuation).; Lack of standards (e.g. unknown quality).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Netherlands;University;Wageningen University;Scientist;;;;Woman;Forestry;;20 - 30 years;a user of geospatial data;Open Satellite-based remote sensing data & derived products;;;Continent;;Very important;Very important;No opinion;No opinion;Very important;Very important;Important;Very important;Slightly important;Very important;;Very problematic;Very problematic;Problematic;No opinion;Slightly problematic;;Through web search (e.g. via Google, Bing, Ecosia);;Familiar;Very important;Very important;Important;Very important;Slightly important;Very important;I don’t kn;;;I don’t kn;I don’t kn;;"Missing support (e.g. lack of contact person for questions).; Missing technical solutions (e.g. lack of tools to process data).; Lack of continuity (e.g. no guaranteed continuation).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Netherlands;University;;Scientist;;;;Woman;"Agriculture / land degradation; Water resources";;30 - 40 years;a user of geospatial data;Open Satellite-based remote sensing data & derived products;;;"Global; Continent";;Extremely important;Important;Extremely important;Important;Very important;Very important;Slightly important;Extremely important;Not important;Not important;uncertainty information;Problematic;Very problematic;Problematic;Problematic;Slightly problematic;;"Through web search (e.g. via Google, Bing, Ecosia); Through open repositories (e.g. zenodo); Through data hubs (e.g. Copernicus Open Access Hub, Sentinel Hub)";;Familiar;Very important;Very important;Important;Important;Slightly important;Important;Yes;copernucus land products;;Yes, FAIR data is not necessarily open;"Lack of knowledge about the benefits of FAIR data.; Lack of awareness of which data sets are FAIR (e.g. missing label or identifier).";;"Concerns on metadata (e.g. uncomplete, too complex).; Missing support (e.g. lack of contact person for questions).; Lack of standards (e.g. unknown quality).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
