"";"In.which.country.do.you.work.";"count";"Percent";"Group"
"1";"Austria";2;1,75438596491228;"Two or less participants"
"2";"Canada";1;0,87719298245614;"Two or less participants"
"3";"Croatia";1;0,87719298245614;"Two or less participants"
"4";"France";2;1,75438596491228;"Two or less participants"
"5";"Germany";61;53,5087719298246;"Germany"
"6";"Greece";1;0,87719298245614;"Two or less participants"
"7";"Italy";11;9,64912280701754;"Italy"
"8";"Luxembourg";1;0,87719298245614;"Two or less participants"
"9";"Netherlands";9;7,89473684210526;"Netherlands"
"10";"Portugal";1;0,87719298245614;"Two or less participants"
"11";"Romania";9;7,89473684210526;"Romania"
"12";"Slovenia";1;0,87719298245614;"Two or less participants"
"13";"Spain";2;1,75438596491228;"Two or less participants"
"14";"Sweden";1;0,87719298245614;"Two or less participants"
"15";"Switzerland";2;1,75438596491228;"Two or less participants"
"16";"United Kingdom";4;3,50877192982456;"United Kingdom"
"17";"United States of America";5;4,3859649122807;"United States of America"
