"";"Group";"variable2";"value2";"count";"percent";"percent2";"variable2_wrap";"percent2_sel"
"1";"Producer / Provider";"Data can be easily integrated in existing workflows ";"Extremely important";12;0,375;"38%";"Data can be easily
integrated in
existing workflows";"38%"
"2";"Producer / Provider";"Data can be easily integrated in existing workflows ";"Very important";13;0,40625;"41%";"Data can be easily
integrated in
existing workflows";"41%"
"3";"Producer / Provider";"Data can be easily integrated in existing workflows ";"Important";4;0,125;"12%";"Data can be easily
integrated in
existing workflows";"12%"
"4";"Producer / Provider";"Data can be easily integrated in existing workflows ";"Slightly important";3;0,09375;"9%";"Data can be easily
integrated in
existing workflows";NA
"5";"Producer / Provider";"Data can be reproduced ";"Extremely important";8;0,25;"25%";"Data can be
reproduced";"25%"
"6";"Producer / Provider";"Data can be reproduced ";"Very important";10;0,3125;"31%";"Data can be
reproduced";"31%"
"7";"Producer / Provider";"Data can be reproduced ";"Important";8;0,25;"25%";"Data can be
reproduced";"25%"
"8";"Producer / Provider";"Data can be reproduced ";"Slightly important";5;0,15625;"16%";"Data can be
reproduced";NA
"9";"Producer / Provider";"Data can be reproduced ";"No opinion";1;0,03125;"3%";"Data can be
reproduced";NA
"10";"Producer / Provider";"Data can be retrieved via domain relevant community standards ";"Extremely important";6;0,1875;"19%";"Data can be
retrieved via domain
relevant community
standards";"19%"
"11";"Producer / Provider";"Data can be retrieved via domain relevant community standards ";"Very important";12;0,375;"38%";"Data can be
retrieved via domain
relevant community
standards";"38%"
"12";"Producer / Provider";"Data can be retrieved via domain relevant community standards ";"Important";11;0,34375;"34%";"Data can be
retrieved via domain
relevant community
standards";"34%"
"13";"Producer / Provider";"Data can be retrieved via domain relevant community standards ";"No opinion";3;0,09375;"9%";"Data can be
retrieved via domain
relevant community
standards";NA
"14";"Producer / Provider";"Data can be retrieved via open protocols ";"Extremely important";9;0,28125;"28%";"Data can be
retrieved via open
protocols";"28%"
"15";"Producer / Provider";"Data can be retrieved via open protocols ";"Very important";10;0,3125;"31%";"Data can be
retrieved via open
protocols";"31%"
"16";"Producer / Provider";"Data can be retrieved via open protocols ";"Important";8;0,25;"25%";"Data can be
retrieved via open
protocols";"25%"
"17";"Producer / Provider";"Data can be retrieved via open protocols ";"Slightly important";3;0,09375;"9%";"Data can be
retrieved via open
protocols";NA
"18";"Producer / Provider";"Data can be retrieved via open protocols ";"No opinion";2;0,0625;"6%";"Data can be
retrieved via open
protocols";NA
"19";"Producer / Provider";"Data has a clear and accessible license ";"Extremely important";11;0,34375;"34%";"Data has a clear and
accessible license";"34%"
"20";"Producer / Provider";"Data has a clear and accessible license ";"Very important";11;0,34375;"34%";"Data has a clear and
accessible license";"34%"
"21";"Producer / Provider";"Data has a clear and accessible license ";"Important";10;0,3125;"31%";"Data has a clear and
accessible license";"31%"
"22";"Producer / Provider";"Data is easy to find online ";"Extremely important";22;0,6875;"69%";"Data is easy to find
online";"69%"
"23";"Producer / Provider";"Data is easy to find online ";"Very important";9;0,28125;"28%";"Data is easy to find
online";"28%"
"24";"Producer / Provider";"Data is easy to find online ";"Important";1;0,03125;"3%";"Data is easy to find
online";"3%"
"25";"Producer / Provider";"Data is interoperable with other data sets ";"Extremely important";6;0,1875;"19%";"Data is
interoperable with
other data sets";"19%"
"26";"Producer / Provider";"Data is interoperable with other data sets ";"Very important";10;0,3125;"31%";"Data is
interoperable with
other data sets";"31%"
"27";"Producer / Provider";"Data is interoperable with other data sets ";"Important";13;0,40625;"41%";"Data is
interoperable with
other data sets";"41%"
"28";"Producer / Provider";"Data is interoperable with other data sets ";"Slightly important";2;0,0625;"6%";"Data is
interoperable with
other data sets";NA
"29";"Producer / Provider";"Data is interoperable with other data sets ";"No opinion";1;0,03125;"3%";"Data is
interoperable with
other data sets";NA
"30";"Producer / Provider";"Data is open ";"Extremely important";19;0,59375;"59%";"Data is open";"59%"
"31";"Producer / Provider";"Data is open ";"Very important";8;0,25;"25%";"Data is open";"25%"
"32";"Producer / Provider";"Data is open ";"Important";3;0,09375;"9%";"Data is open";"9%"
"33";"Producer / Provider";"Data is open ";"Slightly important";1;0,03125;"3%";"Data is open";NA
"34";"Producer / Provider";"Data is open ";"Not important";1;0,03125;"3%";"Data is open";NA
"35";"Producer / Provider";"Data is rich with understandable metadata ";"Extremely important";12;0,375;"38%";"Data is rich with
understandable
metadata";"38%"
"36";"Producer / Provider";"Data is rich with understandable metadata ";"Very important";12;0,375;"38%";"Data is rich with
understandable
metadata";"38%"
"37";"Producer / Provider";"Data is rich with understandable metadata ";"Important";7;0,21875;"22%";"Data is rich with
understandable
metadata";"22%"
"38";"Producer / Provider";"Data is rich with understandable metadata ";"Slightly important";1;0,03125;"3%";"Data is rich with
understandable
metadata";NA
"39";"Producer / Provider";"Source of data is well transparent and documented ";"Extremely important";13;0,40625;"41%";"Source of data is
well transparent and
documented";"41%"
"40";"Producer / Provider";"Source of data is well transparent and documented ";"Very important";10;0,3125;"31%";"Source of data is
well transparent and
documented";"31%"
"41";"Producer / Provider";"Source of data is well transparent and documented ";"Important";6;0,1875;"19%";"Source of data is
well transparent and
documented";"19%"
"42";"Producer / Provider";"Source of data is well transparent and documented ";"Slightly important";3;0,09375;"9%";"Source of data is
well transparent and
documented";NA
"43";"User";"Data can be easily integrated in existing workflows ";"Extremely important";24;0,292682926829268;"29%";"Data can be easily
integrated in
existing workflows";"29%"
"44";"User";"Data can be easily integrated in existing workflows ";"Very important";24;0,292682926829268;"29%";"Data can be easily
integrated in
existing workflows";"29%"
"45";"User";"Data can be easily integrated in existing workflows ";"Important";22;0,268292682926829;"27%";"Data can be easily
integrated in
existing workflows";"27%"
"46";"User";"Data can be easily integrated in existing workflows ";"Slightly important";11;0,134146341463415;"13%";"Data can be easily
integrated in
existing workflows";NA
"47";"User";"Data can be easily integrated in existing workflows ";"No opinion";1;0,0121951219512195;"1%";"Data can be easily
integrated in
existing workflows";NA
"48";"User";"Data can be reproduced ";"Extremely important";26;0,317073170731707;"32%";"Data can be
reproduced";"32%"
"49";"User";"Data can be reproduced ";"Very important";15;0,182926829268293;"18%";"Data can be
reproduced";"18%"
"50";"User";"Data can be reproduced ";"Important";14;0,170731707317073;"17%";"Data can be
reproduced";"17%"
"51";"User";"Data can be reproduced ";"Slightly important";17;0,207317073170732;"21%";"Data can be
reproduced";NA
"52";"User";"Data can be reproduced ";"Not important";6;0,0731707317073171;"7%";"Data can be
reproduced";NA
"53";"User";"Data can be reproduced ";"No opinion";4;0,0487804878048781;"5%";"Data can be
reproduced";NA
"54";"User";"Data can be retrieved via domain relevant community standards ";"Extremely important";19;0,231707317073171;"23%";"Data can be
retrieved via domain
relevant community
standards";"23%"
"55";"User";"Data can be retrieved via domain relevant community standards ";"Very important";19;0,231707317073171;"23%";"Data can be
retrieved via domain
relevant community
standards";"23%"
"56";"User";"Data can be retrieved via domain relevant community standards ";"Important";23;0,280487804878049;"28%";"Data can be
retrieved via domain
relevant community
standards";"28%"
"57";"User";"Data can be retrieved via domain relevant community standards ";"Slightly important";9;0,109756097560976;"11%";"Data can be
retrieved via domain
relevant community
standards";NA
"58";"User";"Data can be retrieved via domain relevant community standards ";"Not important";1;0,0121951219512195;"1%";"Data can be
retrieved via domain
relevant community
standards";NA
"59";"User";"Data can be retrieved via domain relevant community standards ";"No opinion";11;0,134146341463415;"13%";"Data can be
retrieved via domain
relevant community
standards";NA
"60";"User";"Data can be retrieved via open protocols ";"Extremely important";20;0,24390243902439;"24%";"Data can be
retrieved via open
protocols";"24%"
"61";"User";"Data can be retrieved via open protocols ";"Very important";22;0,268292682926829;"27%";"Data can be
retrieved via open
protocols";"27%"
