"";"Group";"variable2";"value2";"count";"percent";"percent2"
"1";"Producer / Provider";"How familiar are you with the FAIR data principles ";"Extremely familiar";2;0,0625;"6%"
"2";"Producer / Provider";"How familiar are you with the FAIR data principles ";"Very familiar";5;0,15625;"16%"
"3";"Producer / Provider";"How familiar are you with the FAIR data principles ";"Familiar";11;0,34375;"34%"
"4";"Producer / Provider";"How familiar are you with the FAIR data principles ";"Slightly familiar";5;0,15625;"16%"
"5";"Producer / Provider";"How familiar are you with the FAIR data principles ";"Not familiar";9;0,28125;"28%"
"6";"User";"How familiar are you with the FAIR data principles ";"Extremely familiar";4;0,0487804878048781;"5%"
"7";"User";"How familiar are you with the FAIR data principles ";"Very familiar";13;0,158536585365854;"16%"
"8";"User";"How familiar are you with the FAIR data principles ";"Familiar";12;0,146341463414634;"15%"
"9";"User";"How familiar are you with the FAIR data principles ";"Slightly familiar";24;0,292682926829268;"29%"
"10";"User";"How familiar are you with the FAIR data principles ";"Not familiar";29;0,353658536585366;"35%"
